Rank,Report,Team,M1,M2,M3,Summary,Color,Fuse Material,Wing Material,Wing Configuration,Winglets?,Tail Configuration,Landing Gear Configuration,"Landing Gear
Material",Motor Configuration,Motor,Propeller(s) Blades,Deployment Type,Boom Number,Radio Protocol,Weight (lb),Mission 1 Pass/Fail,Mission 1 Times,Mission 2 Times,Mission 3 Lap Count,Mission 3 Fastest Lap Time,Wingspan (ft),Syringes,Max Packages,NOTES
,11,University of Notre Dame,0,0,0,Blue/Gold Wood Wood Conventional High Wing Tricycle Front Bogey Carbon Fiber Strut,Blue/Gold,Wood,Wood,Conventional High Wing,Yes,Conventional,Tricycle Front Bogey,Carbon Fiber Strut,Twin Ducted Fan,,2,,,,,Fail ,,,,,,,,
,12,Rensselaer Polytechnicl Institute,1,0,0,Clear  Wood Wood Conventional Middle Wing Tricycle Aluminum,Clear ,Wood,Wood,Conventional Middle Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,1,,,,,,,,,,,
,13,North Carolina State University,,0,0, Foam Board    ,,Foam Board,,,,,,,,,,,,,,,,,,,,,,
,14,National University of Singapore,0,0,0,White/Yellow Foam Board Foam Conventional High Wing Tricycle Aluminum,White/Yellow,Foam Board,Foam,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,,,,Fail,,,,,,,,Dihedral
,15,Veermata Jijabai Technological Institute,1,1,,"White/Blue Wood Wood Conventional High Wing Tricycle
Front Bogey Thick Steel/Aluminum",White/Blue,Wood,Wood,Conventional High Wing,No,Conventional,"Tricycle
Front Bogey",Thick Steel/Aluminum,Single,,,Sequential Rear,N/A,,9.125,Pass,,,,,,,,
,16,Embry-Riddle Aeronautical University: Prescott Campus,1,0,0,Blue/White Wood Wood Conventional High Wing Tricycle Carbon Fiber Composite,Blue/White,Wood,Wood,Conventional High Wing,No ,Conventional,Tricycle,Carbon Fiber Composite,Twin,,,,N/A,,,Pass ,,,,,,,,
2,17,Embry-Riddle Aeronautical University: Daytona Beach,1,1,1,Yellow Wood Wood Conventional Low Wing Tricycle Aluminum,Yellow,Wood,Wood,Conventional Low Wing,No,Conventional,Tricycle,Aluminum,Single,,2,Sequential Rear,N/A,,,Pass,,"37.14, 34.66, 36.08, 1.47",,,,110,,
,18,West Virginia University,1,0,0,Yellow  Foam  Tricycle Aluminum,Yellow,,Foam,,No,,Tricycle,Aluminum,,,,,,,,,,,,,,,,
,19,Dayanda Sagar College of Engineering,0,0,0,Yellow Foam Balsa  Tricycle Aluminum,Yellow,Foam,Balsa,,No,,Tricycle,Aluminum,,,,,,,,,,,,,,,,
,20,Western Michigan Univserity,1,1,,Brown/Grey/Yellow Foam Wood Conventional High Wing Tricycle Aluminum,Brown/Grey/Yellow,Foam,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,2,,N/A,,,Pass,"43.0, 34.2, 33.9, 1.51",,,,,,,
,21,University of Southern California,1,1,,Black /Green Carbon Fiber Composite Composite Conventional High Wing Tricycle Aluminum,Black /Green,Carbon Fiber Composite,Composite,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,N/A,,,Pass,,Done,Done,,,50,1,50 Syringes
,22,University of Michigan - Ann Arbor,1,0,0,     Carbon Fiber Tube,,,,,,,,Carbon Fiber Tube,,,,,,,,,,,,,,,,
,23,Cairo University,1,0,0,     Carbon Fiber Tube,,,,,,,,Carbon Fiber Tube,,,,,,,,,,,,,,,,
,24,Universidad Pontifcia Bolivariana,1,0,0,Yellow/Black Wood Composite Conventional High Wing Tricycle Aluminum,Yellow/Black,Wood,Composite,Conventional High Wing,No,Twin Tail,Tricycle,Aluminum,Single,,2,,,,,,,,,,,,,
,25,University of Florida,1,0,0,     ,,,,,,,,,,,,,,,,,,,,,,,,
,26,Missouri University of Science and Technology,1,1,,Black/Green Wood Wood Conventional High Wing Tricycle Aluminum,Black/Green,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,N/A,,,Pass,,,,,,,,
,27,The University of Akron,1,1,,Green/Yellow Wood Wood Conventional High Wing Tricycle Aluminum,Green/Yellow,Wood,Wood,Conventional High Wing,No,V Tail,Tricycle,Aluminum,Single,,2,,N/A,,,Pass,,,,,,,,Elliptic Wing
,28,George Washington University,1,0,0,     ,,,,,,,,,,,,,,,,Fail,,,,,,,,
,29,University of Kansas,1,1,,Blue / Black Foam Composite Foam Conventional High Wing Tricycle Wire,Blue / Black,Foam,Composite Foam,Conventional High Wing,No,Conventional,Tricycle,Wire,Twin,,2,,1,,,Pass,,,,,,,,
,30,The University of Hong Kong,0,0,0,     ,,,,,,,,,,,,,,,,,,,,,,,,
,31,"University of California, Irvine",1,0,0,Silver Wood Wood Conventional High Wing Tricycle Aluminum,Silver,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,3,,N?A,,,,,,,,,,,
,32,Yildiz Technical University,1,0,0,     ,,,,,,,,,,,,,,,,,,,,,,,,
,33,"University of California, San Diego",1,0,0,Blue/Yellow Wood Wood  Conventional High Wing Tricycle Aluminum,Blue/Yellow,Wood,Wood ,Conventional High Wing,No ,T Tail,Tricycle,Aluminum,Twin,,2,,1,,,Fail,,,,,,,,
,34,The University of Tennessee - Knoxville,1,0,0,     ,,,,,,,,,Twin,,,,,,,,,,,,,,,
,35,"University of Washington, Seattle",1,1,,Yellow/Blue/Pink Wood Wood Conventional High Wing Tricycle Carbon Fiber Composite,Yellow/Blue/Pink,Wood,Wood,Conventional High Wing,Yes,Conventional,Tricycle,Carbon Fiber Composite,Single,,2,Double Plate,,,,Pass,,"48.13, 44.0, 44.29, 2.16",,,,60,,
,36,University of Central Florida,1,1,,Black/Yellow Wood Wood Conventional High Wing Tail Dragger Aluminum,Black/Yellow,Wood,Wood,Conventional High Wing,No,Conventional,Tail Dragger,Aluminum,Single,,2,,,,,Pass,,,,,,,,
,37,"University of Maryland, College Park",0,0,0,pink Wood Composite Foam Conventional High Wing  Carbon Fiber Tube,pink,Wood,Composite Foam,Conventional High Wing,No,,,Carbon Fiber Tube,Single,,,,,,,,,,,,,,,
,38,University of Texas at Austin,1,0,0,Black Wood Composite Foam Conventional High Wing  Carbon Fiber Tube,Black,Wood,Composite Foam,Conventional High Wing,No,Twin Tail,,Carbon Fiber Tube,Single,,,,,,,,,,,,,,,
,39,Ghulam Isaq Khan Institute,0,0,0,red Wood Composite Foam Conventional High Wing  Carbon Fiber Tube,red,Wood,Composite Foam,Conventional High Wing,No,Twin Tail,,Carbon Fiber Tube,Twin,,,,,,,,,,,,,,,
,40,Case Western Reserve University,1,0,0,pink Wood Composite Foam Conventional High Wing  Carbon Fiber Tube,pink,Wood,Composite Foam,Conventional High Wing,No,Twin Tail,,Carbon Fiber Tube,Twin,,,,,,,,,,,,,,,
,41,Franklin W. Olin College of Engineering,1,1,,Black/Cyan Wood Composite Foam Conventional High Wing Tricycle Carbon Fiber Tube,Black/Cyan,Wood,Composite Foam,Conventional High Wing,No,Twin Tail,Tricycle,Carbon Fiber Tube,Twin,,2,,2,,,Pass,,,,,,,,
,42,The Pennsylvania State Univsersity,1,1,,White/Pink  Composite Foam Conventional High Wing Tricycle Aluminum,White/Pink,,Composite Foam,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,2,,,,,Pass,,,,,,,,
,43,Cornell University,1,0,0,Red Wood Wood  Conventional High Wing Tricycle Aluminum,Red,Wood,Wood ,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,2,,1,,,,,,,,,,,
,44,Military Technical College,1,0,0, Wood    Composite,,Wood,,,,,,Composite,,,,,,,,,,,,,,,,
,45,Wentworth Institute of Technology,1,0,0,     Composite,,,,,,,,Composite,,,,,,,,,,,,,,,,
,46,University of Alaska Fairbanks,0,0,0,Blue/Yellow Wood Wood Conventional High Wing Tricycle Composite,Blue/Yellow,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Composite,Twin,,2,,,,,Pass,,,,,,,,
,47,San Diego State Univsersity,1,1,1,Red Carbon Fiber Composite Carbon Fiber Composite Conventional High Wing Tricycle Composite,Red,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,No,Conventional,Tricycle,Composite,Single,,2,,,,,Pass,,,,,,,,
,48,San Jose State University,1,1,1,"Yellow/Blue Wood Wood Conventional High Wing Tricycle, Main Retracts CFRP Main, Steel Front",Yellow/Blue,Wood,Wood,Conventional High Wing,Yes,T-Tail,"Tricycle, Main Retracts","CFRP Main, Steel Front",Twin,E-flite,2,Servo Drop,N/A,Spektrum,12,Pass,,"42.36, 48.31, 47.99, 2.20",,,,,5,
,49,Worcester Polytechnic Institute,1,0,0, Wood  Wood Conventional High Wing Tricycle Aluminum,,Wood ,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,3,,N/A,,,Fail,,,,,,,,
,50,North Dakota State Univsersity,1,0,0,Yellow/Green Fiberglass    ,Yellow/Green,Fiberglass,,,,Box,,,Single,,,,,,,,,,,,,,,
,51,Military Instittute of Science and Technology,1,0,0, Fiberglass    ,,Fiberglass,,,,Box,,,Single,,,,,,,,,,,,,,,
,52,Rutgers,1,0,0, Fiberglass    ,,Fiberglass,,,,Box,,,Single,,,,,,,,,,,,,,,
,53,Clarkson University,0,0,0,Black/Green Carbon Fiber Composite Carbon Fiber Composite Conventional High Wing Tricycle Carbon Fiber Composite,Black/Green,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,Yes,Box,Tricycle,Carbon Fiber Composite,Twin,,2,Bottom Drop,2,,,Fail,,,,,,,3,
,54,"University of Californcia, Merced",1,0,0,     ,,,,,,,,,,,,,,,,,,,,,,,,
,55,University of Oklahoma,1,1,0,Red Wood Wood Conventional High Wing Tricycle Aluminum,Red,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,3,,N/A,,,Pass,,,,,,,,
,56,Brigham Young University Provo,1,1,0, Wood Carbon Fiber Composite Conventional High Wing Tail Dragger ,,Wood,Carbon Fiber Composite,Conventional High Wing,,Box,Tail Dragger,,Twin,,,,,,,Pass,,,,,,,,
,57,University of Colorado Boulder,1,1,1, Fiberglass Composite Foam Conventional High Wing Tail Dragger ,,Fiberglass,Composite Foam,Conventional High Wing,,T Tail,Tail Dragger,,Twin,,,,,,,Pass,,,,,,,,
,58,The Hong Kong University of Science and Technology,1,0,0, Fiberglass Composite Foam Conventional High Wing Tail Dragger ,,Fiberglass,Composite Foam,Conventional High Wing,,Twin Tail,Tail Dragger,,Twin,,,,,,,,,,,,,,,
,59,Tribhuvan University,1,0,0, Fiberglass Composite Foam Conventional High Wing Tail Dragger ,,Fiberglass,Composite Foam,Conventional High Wing,,Conventional,Tail Dragger,,Twin,,,,,,,,,,,,,,,
,60,Rose-Hulman Institute of Technology,1,1,0, Fiberglass Composite Foam Conventional High Wing Tail Dragger ,,Fiberglass,Composite Foam,Conventional High Wing,,H Tail,Tail Dragger,,Twin,,,,,,,Pass,,,,,,,,
,61,University of Illinois Urbana-Champaign,1,0,0, Fiberglass Carbon Fiber Composite Conventional High Wing Tail Dragger ,,Fiberglass,Carbon Fiber Composite,Conventional High Wing,,H Tail,Tail Dragger,,Twin,,,,,,,,,,,,,,,
,62,Gebze Technical University,1,0,0, Fiberglass Composite Conventional High Wing Tail Dragger ,,Fiberglass,Composite,Conventional High Wing,,H Tail,Tail Dragger,,Twin,,,,,,,,,,,,,,,
,63,Lehigh University,1,0,0,White/Black Fiberglass Wood Conventional High Wing Tricycle Aluminum,White/Black,Fiberglass,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Tri,,2,,N/A,,,,,,,,,,,
,64,University of Alabama,1,0,0,White/Black Fiberglass    ,White/Black,Fiberglass,,,,,,,Tri,,,,,,,,,,,,,,,
,65,Purdue University,1,1,1,Gold Wood Wood Conventional High Wing Tricycle Aluminum,Gold,Wood,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,Hacker,2,Bottom Drop,N/A,,,Pass,,,,,,,,
,66,University of New South Whales,1,1,0,     ,,,,,,,,,Single,,,,,,,Pass,,,,,,,,
,67,New Mexico State University,1,0,0,White / Red Wood Wood Conventional High Wing Tail Dragger Aluminum,White / Red,Wood,Wood,Conventional High Wing,No,Conventional,Tail Dragger,Aluminum,Single,,2,,1,,,,,,,,,,,Sailplane Style Fuse
,68,Trine University,1,0,0,Checker Foam    ,Checker,Foam,,,,,,,Single,,,,,,,,,,,,,,,
,69,University of South Alabama,1,1,1,Black/White/Red/Blur Carbon Fiber Composite Wood Conventional High Wing Tricycle Aluminum,Black/White/Red/Blur,Carbon Fiber Composite,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,N/A,,,Pass,,,,,,,,
,70,Columbia University in New York,1,0,0,Yellow/Black Carbon Fiber Composite  Conventional High Wing Tricycle ,Yellow/Black,Carbon Fiber Composite,,Conventional High Wing,,,Tricycle,,Single,,,,,,,,,,,,,,,
,71,"University of Maryland, Baltimore County",1,0,0,Yellow/Black Carbon Fiber Composite  Conventional High Wing Tricycle ,Yellow/Black,Carbon Fiber Composite,,Conventional High Wing,,,Tricycle,,Single,,,,,,,,,,,,,,,
,72,Florida Institute of Technology,1,1,1,Black Carbon Fiber Composite  Conventional High Wing Tricycle ,Black,Carbon Fiber Composite,,Conventional High Wing,,,Tricycle,,Single,,,,,,,Pass,,,,,,,,
,73,University of Massachusetts Amherst,1,0,0,Black Carbon Fiber Composite  Conventional High Wing Tricycle ,Black,Carbon Fiber Composite,,Conventional High Wing,,,Tricycle,,Single,,,,,,,,,,,,,,,
,74,University of Ljubljana,1,1,1,Black Carbon Fiber Composite Carbon Fiber Composite Conventional High Wing Tricycle Carbon Fiber Composite,Black,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,No,Conventional,Tricycle,Carbon Fiber Composite,Twin,Scorpion,2,,N/A,,,Pass ,"42.73, 36.9, 40.5, 2.00",,,,,,,
,75,Oregon State University,1,0,0,Blue / Black Foam Board  Conventional High Wing  Carbon Fiber Composite,Blue / Black,Foam Board,,Conventional High Wing,,,,Carbon Fiber Composite,Twin,,,,,,,,,,,,,,,
,76,Syracuse University,0,0,0,Blue / Black Foam Board  Conventional High Wing  Carbon Fiber Composite,Blue / Black,Foam Board,,Conventional High Wing,,,,Carbon Fiber Composite,Twin,,,,,,,,,,,,,,,
,77,John Hopkins University,1,1,1,Blue / Black Foam Board  Conventional High Wing  Carbon Fiber Composite,Blue / Black,Foam Board,,Conventional High Wing,,,,Carbon Fiber Composite,Twin,,,,,,,Pass,,,,,,,,
,78,Manhattan College,1,0,0,Blue / Black Foam Board  Conventional High Wing  Carbon Fiber Composite,Blue / Black,Foam Board,,Conventional High Wing,,,,Carbon Fiber Composite,Twin,,,,,,,,,,,,,,,
,79,Kent State University,1,0,0,Blue / Black Foam Board  Conventional High Wing  Carbon Fiber Composite,Blue / Black,Foam Board,,Conventional High Wing,,,,Carbon Fiber Composite,Twin,,,,,,,,,,,,,,,
,80,Utah State University,1,1,1,White/Blue/Orange Foam Board Wood Conventional High Wing Tricycle Aluminum,White/Blue/Orange,Foam Board,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Twin,,2,,1,Spektrum,,Pass,,,,,,,,
,81,Rowan University,1,0,0, Foam  Conventional High Wing Tricycle Aluminum,,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,82,Youngstown University,1,1,0,white Foam  Conventional High Wing Tricycle Aluminum,white,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,Pass,,,,,,,,
,83,Ankara Yildirim Beyazit Univeristy,1,0,0,Black Foam  Conventional High Wing Tricycle Aluminum,Black,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,84,"Birla Institute of Tech and Science, Birla Goa Campus",1,1,0,Gold Foam  Conventional High Wing Tricycle Aluminum,Gold,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,Pass,,,,,,,,
,85,University of Tennessee at Chattanooga,1,0,0,greene Foam  Conventional High Wing Tricycle Aluminum,greene,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,86,Texas A&M,1,1,1,greene Foam  Conventional High Wing Tricycle Aluminum,greene,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,87,University of Missouri-Columbia,1,1,0,greene Foam  Conventional High Wing Tricycle Aluminum,greene,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,Pass,,,,,,,,
,88,Alfred University,1,1,0,greene Foam  Conventional High Wing Tricycle Aluminum,greene,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,89,John Brown University,1,1,0,rainbow Foam  Conventional High Wing Tricycle Aluminum,rainbow,Foam,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,Pass,,,,,,,,
,90,University of Arkansas - Fayetteville,1,0,0,Clear    Conventional High Wing Tricycle Aluminum,Clear ,,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,91,City College of New York,1,1,0,blue   Conventional High Wing Tricycle Aluminum,blue,,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,92,Villanova University,1,1,0,blue   Conventional High Wing Tricycle Aluminum,blue,,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,93,New York University Tandon School of Engineering,1,0,0,blue   Conventional High Wing Tricycle Aluminum,blue,,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
,94,University at Buffalo,1,1,0,blue   Conventional High Wing Tricycle Aluminum,blue,,,Conventional High Wing,,,Tricycle,Aluminum,Twin,,,,,,,,,,,,,,,
